city,state_name,density
Prairie Ridge,Washington,1349.8
Edison,Washington,127.4
Packwood,Washington,213.9
Wautauga Beach,Washington,261.7
Harper,Washington,342.1
Telma,Washington,1.4
Kahlotus,Washington,173
Mondovi,Washington,9.4
Washtucna,Washington,120
Pleasant Hill,Washington,25.8
Toledo,Washington,738
Wabash,Washington,56.2
Renton,Washington,1671
Chehalis,Washington,500
Marcellus,Washington,0
Central Valley,Washington,157.5
Ralston,Washington,0.7
Lake City,Washington,1944.4
Megler,Washington,9.9
Alder,Washington,14.4
Goose Prairie,Washington,0
Belvedere,Washington,4.6
Waverly,Washington,101
Turner Corner,Washington,161
Lofall,Washington,260.6
Kennydale,Washington,2263.7
Easton,Washington,122.5
Navy Yard City,Washington,1659.8
Mercer Island,Washington,1529
Lynnwood,Washington,1886
Coulee City,Washington,240
Douglas,Washington,16.4
Centralia,Washington,884
Colbert,Washington,115.6
Bryn Mawr,Washington,2502.5
Silverdale,Washington,595.7
Lyle,Washington,579.9
Malott,Washington,155.5
Mountlake Terrace,Washington,2021
Ilwaco,Washington,176
Fairwood,Washington,1858.6
Warm Beach,Washington,693
Thomas,Washington,158.9
Parker,Washington,14.8
Steptoe,Washington,90.9
Vail,Washington,106.3
Magnolia Beach,Washington,182.7
Lakeview,Washington,2782.1
Shaw Island,Washington,17
Oakesdale,Washington,164
Rosburg,Washington,11.1
Seattle,Washington,3337
Onalaska,Washington,462
George,Washington,151
Index,Washington,384
Winchester,Washington,16.7
Chelatchie,Washington,20.2
Allentown,Washington,1653.6
Novelty,Washington,12
Rosalia,Washington,348
Richmond Beach,Washington,2048.9
Lakota,Washington,526.2
Liberty Lake,Washington,621
Airway Heights,Washington,524
Reardan,Washington,451
Farmer,Washington,0.2
Brier,Washington,1206
Robe,Washington,38.7
Elk Plain,Washington,105.5
Port Townsend,Washington,530
Ocean City,Washington,44.7
Boulevard Park,Washington,1426.1
Newhalem,Washington,20.9
Ford,Washington,2.6
Waterville,Washington,533
Quinault,Washington,33
Humptulips,Washington,49.8
Hamilton,Washington,105
Oak Harbor,Washington,934
Naches,Washington,472
Hooper,Washington,0
Anacortes,Washington,559
Kettle Falls,Washington,585
Walnut Grove,Washington,1575
Salkum,Washington,72.1
Cunningham,Washington,8.3
Irby,Washington,2
Electric City,Washington,189
Burbank,Washington,640.5
Silver Lake,Washington,45.1
Dash Point,Washington,1057.7
Pataha,Washington,53.2
Laurel,Washington,0.3
Woods Creek,Washington,173.1
McKenna,Washington,337.2
Revere,Washington,0.1
Kalama,Washington,297
Grandview,Washington,670
Winthrop,Washington,182
Maltby,Washington,80.4
Spangle,Washington,339
Blanchard,Washington,39.7
Artondale,Washington,350.1
May Creek,Washington,301.6
Home,Washington,198.6
Vashon,Washington,386.3
Snoqualmie Falls,Washington,1.6
Laurier,Washington,5.1
Quincy,Washington,490
Lake McMurray,Washington,122.2
Martha Lake,Washington,2050.6
Ariel,Washington,54.8
Loon Lake,Washington,133.7
Thornton,Washington,10.7
Starbuck,Washington,237
Ronald,Washington,187.8
Kelso,Washington,580
Meadowdale,Washington,450.5
Cottage Lake,Washington,880.7
Cheney,Washington,1106
Woodway,Washington,455
Lacey,Washington,1168
Harrah,Washington,1131
Allyn,Washington,301.1
South Bend,Washington,394
Barstow,Washington,10.7
Tiger,Washington,26.3
Warden,Washington,394
Junction City,Washington,1.8
Blyn,Washington,42.8
Lakebay,Washington,51.7
Tahuya,Washington,155
Waukon,Washington,0.7
Kitsap Lake,Washington,571.9
Sultan,Washington,648
Plain,Washington,10.2
Tanner,Washington,206.5
Stehekin,Washington,0.7
Edmonds,Washington,1829
North Hill,Washington,2208.6
Zillah,Washington,699
Monse,Washington,7.9
Lake Forest Park,Washington,1469
Chinook,Washington,323.8
Albion,Washington,598
Skykomish,Washington,267
Yakima,Washington,1302
Pacific,Washington,1149
Wishram,Washington,106.8
Cascade Valley,Washington,576.1
Cathcart,Washington,214
Brush Prairie,Washington,119.5
Amboy,Washington,120.2
Centerville,Washington,37.3
Verlot,Washington,27.5
Alstown,Washington,1
Synarep,Washington,4.2
Annapolis,Washington,1582
Port Gamble,Washington,138.5
Eatonville,Washington,633
Similk Beach,Washington,269.4
Cougar,Washington,52.9
Eglon,Washington,72.7
Paterson,Washington,43.3
Tenino,Washington,491
Minnehaha,Washington,1002.8
Raymond,Washington,275
Alger,Washington,64.5
Roy,Washington,652
Almira,Washington,205
Fragaria,Washington,164.3
Green Bluff,Washington,65.5
Woodmont Beach,Washington,1596.9
Frances,Washington,13.2
Lynden,Washington,1019
Clayton,Washington,125.4
Everson,Washington,800
White Swan,Washington,347.5
Camano,Washington,306.3
Cedar Grove,Washington,107.3
Winton,Washington,16.8
East Olympia,Washington,241.2
Sunset Beach,Washington,698.7
Belfair,Washington,257.3
Oso,Washington,72.7
Federal Way,Washington,1680
Scandia,Washington,292.5
Quilcene,Washington,119
Covada,Washington,1.9
Keyport,Washington,579.7
Juanita,Washington,3292.4
Molson,Washington,5
Daisy,Washington,21.8
Sumas,Washington,384
Mill Creek,Washington,1747
Lakewood,Washington,1361
Venersborg,Washington,77
West Lake Sammamish,Washington,0
Port Angeles,Washington,716
Longview,Washington,976
Fairmont,Washington,2665.2
Wapato,Washington,1646
East Port Orchard,Washington,961.3
North Omak,Washington,5.3
East Farms,Washington,753
Eschbach,Washington,231.1
Chattaroy,Washington,68.3
Inchelium,Washington,164.9
Maxwelton,Washington,194.6
White Center,Washington,4133.9
Medical Lake,Washington,567
Lyman,Washington,269
Arlington,Washington,756
Ruston,Washington,1202
McCleary,Washington,318
Sammamish,Washington,1219
Covington,Washington,1363
McMillin,Washington,245.2
La Grande,Washington,8.7
Cromwell,Washington,394.2
Berrydale,Washington,358.7
Wenatchee,Washington,1325
Urban,Washington,2.8
Maplewood,Washington,153.7
Marys Corner,Washington,112.6
Mattawa,Washington,2388
Cove,Washington,125.5
Chico,Washington,438.7
Maple Falls,Washington,154.4
Colvos,Washington,118.3
Ames Lake,Washington,379.3
Ellisforde,Washington,28.7
Selah,Washington,662
Pine Lake,Washington,1057.1
Tampico,Washington,35.6
Colton,Washington,292
Usk,Washington,120
Cle Elum,Washington,179
Omak,Washington,478
Eureka,Washington,0
Harrington,Washington,404
Sedro-Woolley,Washington,1057
Cherry Grove,Washington,120.6
La Push,Washington,149.1
Lake Ketchum,Washington,352.6
Arletta,Washington,251.3
Opportunity,Washington,1210.6
Glenoma,Washington,30.1
Curlew,Washington,66.4
Hartline,Washington,178
Midland,Washington,783.9
Adna,Washington,72
